producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs-tmpfs,15,tmpfs,3,92479.634584023,92395.84409763639,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-ssd,1,ssd,3,93790.22336097629,92106.04584668606,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-ssd,15,ssd,3,94262.67488614762,92578.49737185739,1684.177514290227
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,4,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,5,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,8,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,40,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,60,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs-ssd,2,ssd,3,6.4302088469120884e-06,1.1437119552839902e-07,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,4,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,5,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,8,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,40,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,60,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs-tmpfs,2,tmpfs,3,6.583589679052984e-06,1.2313824312173204e-07,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd-ssd,2,ssd,3,8.726867399409586e-06,2.4110297480258974e-06,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs-tmpfs,2,tmpfs,3,8.827453700888772e-06,2.3670022649575196e-06,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,4,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,5,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,8,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,40,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,60,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs-beegfs,2,beegfs,3,1.8789376703309614e-05,1.109147875637311e-07,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd-beegfs,2,beegfs,3,1.888704434884605e-05,2.0858243310016637e-07,1.8678461915745884e-05
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,4,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,5,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,8,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,40,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,60,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,4,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,5,264.4328200344907,264.4328200344907,0.0
